"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance03 Rt(min)","T2-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T3-EIC(+)[M+H]_Substance07 Rt(min)","T3-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance08 Rt(min)","T3-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","TWC_Substance12 Rt(min)","TWC_Substance12 AreaAbs","TWC_Substance13 Rt(min)","TWC_Substance13 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance09 Rt(min)","T3-EIC(+)[M+H]_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs"
"A1","A1.raw","1/10/2021 7:08:42 AM","1","","YS0500302","","Yuning",0.283,73382.90641,0.348,85211.10031,0.423,222092.33327,0.387,10938.57757,0.490,12092.54370,0,0,0.508,13978.65247,0.545,17592.93691,0,0,0.350,134138.40161,0.425,431268.75341,0,0,0.736,22653.46834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1","B1.raw","1/10/2021 7:11:13 AM","2","","YS0500302","","Yuning",0.283,72850.93754,0.348,95304.87694,0.424,260462.21729,0.489,5876.01865,0.515,11006.14733,0,0,0.542,9169.75543,0.610,5586.87747,0,0,0.350,142246.04994,0.425,451332.44206,0,0,0.670,6790.70374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1","C1.raw","1/10/2021 7:13:01 AM","3","","YS0500302","","Yuning",0.283,86505.39396,0.347,117047.94448,0.422,217647.50177,0.301,18877.74132,0.329,36834.48129,0,0,0.395,23827.19216,0.490,13425.91007,0,0,0.350,182780.61965,0.427,391918.22973,0,0,0.543,16433.26905,0.736,19823.11843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1","D1.raw","1/10/2021 7:14:48 AM","4","","YS0500302","","Yuning",0.283,90392.99615,0.347,112648.30560,0.422,283958.83134,0.542,18393.97656,0.735,14736.59866,0,0,0,0,0,0,0,0,0.350,163052.84159,0.425,555536.34356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1","E1.raw","1/10/2021 7:16:37 AM","5","","YS0500302","","Yuning",0.284,101545.41180,0.347,123570.32784,0.423,263354.96790,0.331,14370.93551,0.375,11872.63732,0,0,0.398,8128.31368,0.487,188119.71496,0,0,0.350,170928.93161,0.427,488776.34305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,4960.07907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F1","F1.raw","1/10/2021 7:18:25 AM","6","","YS0500302","","Yuning",0.284,130792.36374,0.347,155545.09723,0.423,436443.83845,0.391,16093.95643,0.490,20108.70572,0,0,0.508,8485.64009,0.543,22715.68373,0,0,0.352,223543.58686,0.427,717222.56159,0,0,0.736,47945.37049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1","G1.raw","1/10/2021 7:20:13 AM","7","","YS0500302","","Yuning",0.283,102916.14922,0.348,126469.55997,0.423,320922.85059,0.542,13450.60449,0.735,86925.37721,0.491,25657.24979,0,0,0,0,0.493,8722.42422,0.350,175220.02905,0.425,529017.67093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1","H1.raw","1/10/2021 7:22:01 AM","8","","YS0500302","","Yuning",0.285,111694.84335,0.346,132275.35408,0.423,218449.67749,0.490,22258.09394,0.543,76128.65004,0,0,0,0,0,0,0,0,0.352,161887.11978,0.427,377273.97223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,3249.97002,0,0,0,0,0,0
"I1","I1.raw","1/10/2021 7:23:49 AM","9","","YS0500302","","Yuning",0.283,92894.38121,0.346,160716.37455,0.422,171182.86163,0.399,13640.43650,0.531,187387.35895,0.489,70342.98828,0.735,128697.56830,0,0,0.493,357551.70189,0.350,239637.87091,0.425,297654.52449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1","J1.raw","1/10/2021 7:25:38 AM","10","","YS0500302","","Yuning",0.285,107896.16349,0.348,184299.92925,0.424,248904.91501,0.330,66064.01964,0.545,87749.11674,0.491,40229.68153,0,0,0,0,0.493,13682.10422,0.350,201602.89528,0.425,340288.10446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
