"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs"
"A1","A1.raw","1/10/2021 7:07:29 PM","1","","YS0500303","","Yuning",0.284,211301.39055,0.328,41128.41002,0.348,240350.15416,0.381,176870.39719,0.424,472070.04493,0.488,49557.22679,0.544,33996.63710,0.352,244631.11446,0.427,591936.17882,0.614,20743.04428,0,0,0,0,0,0,0.736,52408.39783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1","B1.raw","1/10/2021 7:09:50 PM","2","","YS0500303","","Yuning",0.283,127085.53559,0.379,141292.46722,0.347,167271.48215,0.441,71143.55430,0.424,286560.02827,0.474,11854.54254,0.518,52057.10753,0.352,215948.06207,0.427,377800.10764,0.541,32952.59688,0,0,0,0,0,0,0.553,16685.08012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1","C1.raw","1/10/2021 7:11:39 PM","3","","YS0500303","","Yuning",0.282,113694.26107,0.301,34657.57191,0.346,188146.11008,0.328,348421.83198,0.424,12484.24308,0.372,11544.07400,0.394,95640.57020,0.352,183957.18700,0.425,26831.42680,0.485,9729.95361,0,0,0,0,0,0,0.542,16707.24579,0,0,0,0,0,0,0,0,0.377,18327.61323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1","D1.raw","1/10/2021 7:13:26 PM","4","","YS0500303","","Yuning",0.283,134440.38020,0.328,41592.49724,0.346,168127.91765,0.395,34173.30417,0.423,361816.91063,0.487,12854.91380,0.505,9168.71620,0.350,202097.66991,0.425,547725.52190,0.544,21265.86746,0,0,0,0,0,0,0.735,32750.83548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1","E1.raw","1/10/2021 7:15:15 PM","5","","YS0500303","","Yuning",0.283,130731.12319,0.331,42085.87242,0.347,153036.13856,0.400,35985.92623,0.424,168121.90906,0.489,176515.83550,0.511,19233.34637,0.352,147355.49988,0.427,299526.74824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514,22974.59242,0,0,0,0,0,0,0,0,0,0,0,0
"F1","F1.raw","1/10/2021 7:17:03 PM","6","","YS0500303","","Yuning",0.283,140133.00979,0.328,48845.51352,0.346,184106.35586,0.378,93788.12892,0.422,249280.34757,0.394,18241.92574,0.485,16717.09118,0.350,190386.49710,0.425,405505.16470,0.515,10079.38880,0,0,0,0,0,0,0.542,50311.60072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1","G1.raw","1/10/2021 7:18:51 PM","7","","YS0500303","","Yuning",0.284,163717.73248,0.328,10311.74440,0.347,179577.55012,0.381,89687.97798,0.423,369133.38994,0.474,15537.65780,0.488,22211.64067,0.352,204996.25840,0.427,529597.31030,0.516,19985.00252,0,0,0,0,0,0,0.543,104975.07422,0.735,15035.16598,0,0,0.496,3405.79445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1","H1.raw","1/10/2021 7:34:36 PM","8","","YS0500303","","Yuning",0.281,209022.36524,0.379,112185.13522,0.343,243238.29675,0.490,72287.53318,0.421,160856.47827,0.542,108684.04658,0,0,0.350,186851.69837,0.425,247697.05489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1","J1.raw","1/10/2021 7:38:32 PM","10","","YS0500303","","Yuning",0.284,122648.29797,0.329,81045.37044,0.348,250074.86396,0.545,132932.33700,0.423,288469.55928,0.625,10472.43182,0,0,0.350,208377.03935,0.425,354267.80622,0,0,0,0,0.485,56914.45349,0.493,25547.44261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K1","K1.raw","1/10/2021 7:40:20 PM","11","","YS0500303","","Yuning",0.282,181983.79801,0.328,19445.15674,0.346,150892.55197,0.380,130190.43154,0.423,274775.03245,0.486,28540.29363,0.544,35987.07663,0.350,191312.90761,0.425,431600.97693,0.735,33685.73529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
