"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T1-EIC(+)[M+H]_Substance02 Rt(min)","T1-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance04 Rt(min)","T2-EIC(+)[M+H]_Substance04 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs"
"A1","A1.raw","1/11/2021 6:49:30 AM","1","","YS0500304","","Yuning",0.283,42916.39205,0.328,39208.11039,0.347,77167.28721,0.422,139203.23325,0.489,85488.90218,0.512,33715.80151,0.550,29571.99212,0.350,110822.96352,0.427,307933.13743,0.569,97749.88646,0.902,5887.96716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1","B1.raw","1/11/2021 6:51:47 AM","2","","YS0500304","","Yuning",0.279,118905.74264,0.329,59175.88192,0.347,128605.37094,0.423,192691.06670,0.491,10500.79400,0.509,168330.52144,0.552,34389.75327,0.350,173495.10152,0.427,422953.14254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1","C1.raw","1/11/2021 6:53:36 AM","3","","YS0500304","","Yuning",0.282,49088.86880,0.328,21333.45446,0.347,109980.85427,0.422,297513.81365,0.394,10949.36385,0.491,45566.99153,0.551,208070.15380,0.350,170126.09903,0.425,553924.45827,0.735,44942.87459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D1","D1.raw","1/11/2021 6:55:23 AM","4","","YS0500304","","Yuning",0.282,49349.56289,0.329,25409.74731,0.346,170258.70966,0.423,264378.21736,0.458,13289.98193,0.480,135974.52287,0.516,10250.29444,0.350,236401.10454,0.425,502253.15503,0.537,132532.11288,0.552,32889.66652,0.565,81947.65103,0,0,0,0,0,0,0,0,0,0,0,0,0.722,21210.25004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E1","E1.raw","1/11/2021 6:57:11 AM","5","","YS0500304","","Yuning",0.282,46673.62063,0.490,11722.99529,0.347,113117.23542,0.422,314291.97998,0.552,52371.35147,0.587,28825.29084,0,0,0.350,185381.85506,0.425,605571.25106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F1","F1.raw","1/11/2021 6:59:00 AM","6","","YS0500304","","Yuning",0.281,89247.22387,0.329,18558.69390,0.347,109532.07381,0.423,281662.04012,0.491,38816.68519,0.553,89799.61321,0,0,0.350,176320.69215,0.427,584900.32868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1","G1.raw","1/11/2021 7:00:47 AM","7","","YS0500304","","Yuning",0.285,60895.38462,0.329,27463.54605,0.347,212188.26977,0.423,279266.85442,0.553,292783.71750,0,0,0,0,0.350,235575.61538,0.425,436580.24786,0,0,0,0,0,0,0,0,0.489,44343.65957,0.493,4726.55221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1","H1.raw","1/11/2021 7:02:35 AM","8","","YS0500304","","Yuning",0.283,49237.45360,0.531,38656.53077,0.346,164017.43335,0.423,266950.04662,0.553,193877.50792,0,0,0,0,0.350,265194.56967,0.425,483957.45936,0,0,0,0,0,0,0,0,0.491,115849.08077,0.493,545361.50566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I1","I1.raw","1/11/2021 7:04:23 AM","9","","YS0500304","","Yuning",0.275,288654.75403,0.329,36552.41587,0.346,169251.03776,0.422,198538.23558,0.368,20440.03042,0.388,38800.93332,0.490,207562.41878,0.350,261345.61182,0.425,415786.67627,0.554,195679.73044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1","J1.raw","1/11/2021 7:06:11 AM","10","","YS0500304","","Yuning",0.284,57393.86807,0.329,40747.70265,0.346,174455.89295,0.423,433829.30880,0.389,29149.96292,0.490,71196.23462,0.555,240434.03816,0.350,264420.31819,0.427,746285.64745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K1","K1.raw","1/11/2021 7:07:59 AM","11","","YS0500304","","Yuning",0.282,81667.40040,0.328,34547.41561,0.347,156020.57407,0.422,410793.93226,0.489,47145.23782,0.554,245500.05925,0,0,0.350,228251.15998,0.425,756040.01445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1","L1.raw","1/11/2021 7:09:47 AM","12","","YS0500304","","Yuning",0.283,42899.55310,0.328,9658.09297,0.346,124197.46253,0.423,339253.99466,0.492,74824.09329,0.551,97685.39632,0.568,35859.66888,0.350,210156.08288,0.425,650520.24682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1","M1.raw","1/11/2021 7:11:35 AM","13","","YS0500304","","Yuning",0.284,45912.50642,0.491,20936.97096,0.347,152976.45130,0.423,482119.86846,0.515,78031.60178,0.553,78591.03972,0,0,0.350,239233.20178,0.427,805112.90996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N1","N1.raw","1/11/2021 7:13:23 AM","14","","YS0500304","","Yuning",0.283,41968.20759,0.328,18399.16432,0.346,108777.28333,0.423,302167.44751,0.382,27055.14900,0.474,9157.98056,0.534,45407.60951,0.350,188781.07107,0.425,564349.60332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O1","O1.raw","1/11/2021 7:15:11 AM","15","","YS0500304","","Yuning",0.282,35235.95040,0.328,3850.21089,0.347,49589.12431,0.423,118580.74217,0.490,23225.79412,0.522,5945.56885,0.554,23452.09451,0.350,71950.46705,0.425,245036.59170,0.846,4047.96453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1","P1.raw","1/11/2021 7:16:59 AM","16","","YS0500304","","Yuning",0.281,36028.73958,0.328,8793.42675,0.347,69714.70951,0.422,178985.07165,0.489,14674.03978,0.550,44150.01288,0.566,16062.52923,0.350,117461.96384,0.425,395352.29385,0.643,6405.38942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2","A2.raw","1/11/2021 7:18:47 AM","17","","YS0500304","","Yuning",0.283,62700.73833,0.323,7640.47282,0.348,114097.30661,0.423,296577.13318,0.474,10411.87657,0.510,157411.50389,0.553,46875.34830,0.350,189667.56045,0.427,529639.55593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2","B2.raw","1/11/2021 7:20:35 AM","18","","YS0500304","","Yuning",0.282,56423.69163,0.297,53875.98474,0.346,96605.97021,0.422,53542.88826,0.326,43958.13733,0.375,55985.53280,0.511,129488.18127,0.350,161076.13061,0.427,101139.47809,0.552,35459.95420,0.870,6860.32613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,5820.42021,0,0,0,0,0,0,0,0,0,0,0,0
"C2","C2.raw","1/11/2021 7:22:24 AM","19","","YS0500304","","Yuning",0.283,62756.09553,0.484,11466.65883,0.347,85014.27658,0.422,215233.91263,0.545,207923.29796,0,0,0,0,0.350,135762.23107,0.427,437860.00945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2","D2.raw","1/11/2021 7:24:12 AM","20","","YS0500304","","Yuning",0.284,57359.82467,0.298,23809.03104,0.346,103259.89948,0.420,34032.64996,0.376,110217.12570,0.482,13212.89463,0.516,6294.96346,0.350,183435.08814,0.425,17876.99583,0.537,111077.21308,0.564,13221.91708,0.723,7352.79294,0,0,0,0,0,0,0,0,0.381,5887.35389,0,0,0.870,6536.62198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2","E2.raw","1/11/2021 7:25:59 AM","21","","YS0500304","","Yuning",0.283,60032.77323,0.375,12309.84831,0.347,80610.73957,0.423,141912.81359,0.485,5570.58710,0.514,4233.71029,0.542,74197.42232,0.350,133833.79511,0.425,322610.98397,0.587,11180.53213,0.851,5071.14709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2","F2.raw","1/11/2021 7:27:47 AM","22","","YS0500304","","Yuning",0.283,111313.99973,0.376,176729.07397,0.346,126039.58905,0.423,110084.79652,0.482,22912.47742,0.533,24538.73638,0.553,152012.48156,0.350,211592.46654,0.425,192884.93235,0,0,0,0,0,0,0,0,0,0,0,0,0.381,11691.43422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2","G2.raw","1/11/2021 7:29:35 AM","23","","YS0500304","","Yuning",0.281,63354.97794,0.298,27422.68992,0.346,158909.36702,0.424,73049.22612,0.375,103095.41149,0.497,31874.99791,0.552,177180.16524,0.350,220080.64705,0.425,41506.07503,0,0,0,0,0,0,0,0,0.480,17711.45994,0.493,6988.44143,0,0,0.387,5078.53188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2","H2.raw","1/11/2021 7:31:23 AM","24","","YS0500304","","Yuning",0.282,75300.54039,0.376,168741.90348,0.346,157164.90904,0.421,51082.41927,0.552,95350.86357,0,0,0,0,0.350,250005.33426,0.427,52446.56660,0,0,0,0,0,0,0,0,0.491,69256.70762,0.496,371205.81026,0.381,8768.38934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2","I2.raw","1/11/2021 7:33:11 AM","25","","YS0500304","","Yuning",0.284,119295.12179,0.330,14451.89384,0.348,146861.39776,0.424,178597.92005,0.388,12583.74204,0.455,14699.72285,0.491,51418.23568,0.350,207394.46296,0.427,352738.46071,0.554,154024.01023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J2","J2.raw","1/11/2021 7:34:59 AM","26","","YS0500304","","Yuning",0.283,39661.49190,0.376,6630.70409,0.347,39963.59307,0.423,56327.46468,0.404,14889.41731,0.488,3220.38936,0.551,55453.77368,0.350,66318.19658,0.427,120565.27880,0.837,4343.22653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K2","K2.raw","1/11/2021 7:36:47 AM","27","","YS0500304","","Yuning",0.283,80555.49710,0.377,151009.63156,0.347,149286.09463,0.424,211003.00920,0.475,14331.26653,0.484,12534.62723,0.534,17990.67909,0.350,253521.55320,0.427,401800.05343,0.555,244913.33865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2","L2.raw","1/11/2021 7:38:35 AM","28","","YS0500304","","Yuning",0.282,47536.18160,0.375,123820.78007,0.345,67255.79163,0.420,29578.80312,0.501,88466.99891,0.551,32705.17087,0.842,4178.29585,0.350,125411.00681,0.427,47797.22480,0,0,0,0,0,0,0,0,0,0,0,0,0.381,8303.12547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2","M2.raw","1/11/2021 7:40:23 AM","29","","YS0500304","","Yuning",0.283,62321.30776,0.377,36596.39334,0.346,109837.18845,0.423,219814.71178,0.475,12682.48357,0.516,50699.82162,0.551,59089.19096,0.350,195564.06269,0.427,411183.07008,0.863,6511.48558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2","N2.raw","1/11/2021 7:42:11 AM","30","","YS0500304","","Yuning",0.284,41267.88975,0.299,10837.20790,0.347,66670.79102,0.423,57762.95181,0.329,5354.54007,0.377,59914.56791,0.537,18007.08328,0.350,124367.49353,0.427,117040.04390,0.558,10571.23899,0.841,4010.86443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
